RTCM0053,,4648196.677,413546.936,41.043
30,1384644,4637448.706,417308.853,1.906
31,21440250,4637441.705,417293.324,1.617
32,21411061,4637438.580,417277.322,1.557
33,21384654,4637429.344,417254.679,1.210
34,21384595,4637429.654,417243.206,1.401
35,20358395,4637428.955,417237.336,0.864
21,21384665,4637059.362,417080.727,1.804
22,21411058,4637063.917,417074.993,1.692
20,21384656,4637056.865,417080.843,1.950
23,21410972,4637066.648,417073.446,1.553
24,21384591,4637081.087,417073.374,1.746
25,21411051,4637083.822,417065.152,1.716
26,21384636,4637090.901,417064.834,1.712
27,21384576,4637105.215,417059.581,1.529
28,21440245,4637107.832,417058.355,1.199
29,21410924,4637109.250,417057.001,0.684
19,21411074,4637053.346,416946.154,1.476
15,21384647,4636996.535,416843.959,1.448
16,21384660,4636965.103,416838.478,1.203
17,21410921,4636955.183,416845.117,0.635
12,21384536,4636956.330,416843.375,1.056
14,21440243,4637033.955,416855.078,1.444
13,21384670,4637067.658,416864.262,1.586
18,21440246,4637077.904,416861.893,1.257
01,21440249,4637125.536,416819.041,1.854
02,21440242,4637129.050,416808.258,1.640
03,21384682,4637133.623,416794.528,1.462
04,21384635,4637138.300,416780.932,1.350
05,21411121,4637148.875,416775.276,1.297
06,21440248,4637145.490,416756.812,1.173
07,21384618,4637151.983,416739.296,1.140
08,21440244,4637154.370,416722.207,1.396
09,21384699,4637161.537,416711.340,1.257
10,21440247,4637169.755,416699.613,0.889
11,21071951,4637173.636,416696.510,0.415
36,21410928,4637438.090,416853.593,1.139
37,21410932,4637437.742,416863.648,1.473
38,21410927,4637430.287,416884.433,1.598
39,21410929,4637423.924,416898.784,1.685
40,21410933,4637423.062,416908.619,1.572
41,21071954,4637422.493,416915.856,0.277
