Site Name,Site,Response,Adj_R_Squared,Intercept,Elevation,Type
Old Town Hill,OTH,Median_Time_Inundated,0.5230001558259092,5.137019024909953,-2.5279398418254915,Plat
Old Town Hill,OTH,Median_Time_Inundated,0.5611356813536211,5.459749461533495,-2.7893090342922062,"Plat,Edge"
Old Town Hill,OTH,Median_Time_Inundated,0.6328214667970253,303.1106534488749,-225.2033114033761,"Plat,Edge,Ditch"
Old Town Hill,OTH,Percentile_95_Depth,0.9245057734553821,1.1575753723910516,-0.8055222092570989,Plat
Old Town Hill,OTH,Percentile_95_Depth,0.5860494653566704,0.7238191424597162,-0.4736909530693765,"Plat,Edge"
Old Town Hill,OTH,Percentile_95_Depth,0.9185290399211425,1.2296761913332535,-0.8319709143279732,"Plat,Edge,Ditch"
Old Town Hill,OTH,Proportion_Time_Inundated,0.9814772626550377,0.5548899211831222,-0.3740096176676506,Plat
Old Town Hill,OTH,Proportion_Time_Inundated,0.6820497154212097,0.3700514504072119,-0.23285982314304143,"Plat,Edge"
Old Town Hill,OTH,Proportion_Time_Inundated,0.8572293898839323,0.7376102586667594,-0.4931553209495642,"Plat,Edge,Ditch"
Red River,RED,Median_Time_Inundated,0.7981549555263894,6.501225215659157,-6.7531715268825705,Plat
Red River,RED,Median_Time_Inundated,0.7981549555263894,6.501225215659157,-6.7531715268825705,"Plat,Edge"
Red River,RED,Median_Time_Inundated,0.8590733844941858,6.5404251370490165,-6.82060071314851,"Plat,Edge,Ditch"
Red River,RED,Percentile_95_Depth,0.8997204230673707,0.4682823204260158,-0.6735321131698533,Plat
Red River,RED,Percentile_95_Depth,0.8904558483658861,0.45249781177327286,-0.6403499643732431,"Plat,Edge"
Red River,RED,Percentile_95_Depth,0.9200480201405175,0.4879514541879441,-0.6998064944585426,"Plat,Edge,Ditch"
Red River,RED,Proportion_Time_Inundated,0.8292479721897825,0.46585596917001243,-0.6351266843091212,Plat
Red River,RED,Proportion_Time_Inundated,0.8434478792316112,0.46011880207807326,-0.6231157436162883,"Plat,Edge"
Red River,RED,Proportion_Time_Inundated,0.881509271296391,0.5155288212644266,-0.7160395519586753,"Plat,Edge,Ditch"
Wellfleet Bay,WEL,Median_Time_Inundated,0.6452164104302189,5.058467954121404,-2.5201274333272656,Plat
Wellfleet Bay,WEL,Median_Time_Inundated,0.6956613063014097,4.9148723606911755,-2.411908382927769,"Plat,Edge"
Wellfleet Bay,WEL,Median_Time_Inundated,0.6956613063014097,4.9148723606911755,-2.411908382927769,"Plat,Edge,Ditch"
Wellfleet Bay,WEL,Percentile_95_Depth,0.8394336493979699,1.017459612938935,-0.6226144781772321,Plat
Wellfleet Bay,WEL,Percentile_95_Depth,0.7636241094642255,0.8797429191163871,-0.5187597753942477,"Plat,Edge"
Wellfleet Bay,WEL,Percentile_95_Depth,0.7636241094642255,0.8797429191163871,-0.5187597753942477,"Plat,Edge,Ditch"
Wellfleet Bay,WEL,Proportion_Time_Inundated,0.8446790354291311,0.47267081160152685,-0.2752963860614434,Plat
Wellfleet Bay,WEL,Proportion_Time_Inundated,0.8243430799813792,0.4316623350466684,-0.24439759787408938,"Plat,Edge"
Wellfleet Bay,WEL,Proportion_Time_Inundated,0.8243430799813792,0.4316623350466684,-0.24439759787408938,"Plat,Edge,Ditch"
Westport,WES,Median_Time_Inundated,0.6674166955700711,6.023741393461226,-7.830786851677929,Plat
Westport,WES,Median_Time_Inundated,0.47083995516349764,4.406991310014779,-4.289674254512921,"Plat,Edge"
Westport,WES,Median_Time_Inundated,0.7822894560575953,5.567352785597691,-6.636806798952069,"Plat,Edge,Ditch"
Westport,WES,Percentile_95_Depth,0.8213906920324868,0.5403948758066169,-0.8418693352225226,Plat
Westport,WES,Percentile_95_Depth,0.8485673745129714,0.461331539919276,-0.6686996056823016,"Plat,Edge"
Westport,WES,Percentile_95_Depth,0.9372113165132226,0.507581670151922,-0.762252509788377,"Plat,Edge,Ditch"
Westport,WES,Proportion_Time_Inundated,0.7690294462111769,0.5047763292253127,-0.7500519282990085,Plat
Westport,WES,Proportion_Time_Inundated,0.8330459151200943,0.44509939446611485,-0.6193435723201365,"Plat,Edge"
Westport,WES,Proportion_Time_Inundated,0.9315014123255975,0.47932513462666115,-0.6885740235879028,"Plat,Edge,Ditch"
