RTCM0057,,4615954.560,419521.353,15.116
001,checker,4613541.058,413770.492,0.529
002,gcp,4613551.827,413576.612,0.736
003,gcp,4613450.461,413456.199,0.733
004,gcp,4613428.419,413239.105,0.361
006,skip_gcp5,4613739.334,413469.143,0.653
007,gcp,4613789.140,413581.204,0.623
007_redo,gcp,4613794.633,413585.187,0.747
0088,gcp,4613978.364,413703.749,0.816
009,gcp,4613873.353,413807.047,0.674
