Site,Day,Month,Year,PolygongonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
PEG,,,,73,330,05a,05,a,MU,4671855.49,357879.554,1.389,
PEG,,,,82,363,10a,10,a,MU,4671869.282,357887.059,1.246,
PEG,,,,83,364,10as,10,as,MU,4671869.09,357889.66,1.397,
PEG,,,,84,365,02a,02,a,MU,4671871.181,357890.101,1.322,
