Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
RR,17,Sep,2020,7,15,02b,02,b,MU,4613702.349,413704.561,0.448,"flowering, water pooling at low tide"
RR,17,Sep,2020,11,22,33,33,,MU,4613690.421,413707.409,0.507,1 mu
RR,17,Sep,2020,16,46,31,31,,MU,4613508.826,413588.158,0.829,1 mu sand and shells
RR,17,Sep,2020,24,64,03a,03,a,MU,4613767.745,413489.526,0.534,1 mu
RR,17,Sep,2020,27,71,11a,11,a,MU,4613783.195,413500.618,0.659,1 mu 
RR,17,Sep,2020,31,79,09a,09,a,MU,4613810.761,413554.548,0.716,1 mu
