"source","group","n","mean_bias","median_bias","mae","mad","rmse","max_abs","q25_abs","q75_abs","q95_abs","slope","bias_p","pct_within_10cm","pct_within_20cm"
"may_22_ortho","overall",149,0.186595187206818,0.153174070440909,0.190781818995425,0.107394419860211,0.240849926349525,0.878436338976176,0.0895596248333554,0.245844583366844,0.482364179493929,1.13901164153347,2.88445597791055e-31,28.8590604026846,64.4295302013423
"may_22_ortho","1",28,0.185730581993766,0.164136018097141,0.185730581993766,0.0905132722099793,0.21318256525908,0.474544960457684,0.107340839813587,0.238166530410777,0.373942263571219,0.952047849736289,7.83022580902811e-10,17.8571428571429,60.7142857142857
"may_22_ortho","10",21,0.101716386360659,0.0876893918859112,0.103027942697757,0.0824516601788727,0.125857475775803,0.240598161225491,0.0416535879836433,0.146665755604447,0.239930467647907,1.29072392176762,5.36705378148845e-06,61.9047619047619,85.7142857142857
"may_22_ortho","11",3,0.640369508360967,0.652251663716962,0.640369508360967,0.321747595674793,0.668513232075771,0.869267443883422,0.52592054059974,0.760759553800192,0.847565865866776,2.48510574596138,0.042098977797965,0,0
"may_22_ortho","12",7,0.3550814965076,0.487576992184758,0.425322806040984,0.274305420553797,0.494693083065293,0.878436338976176,0.274202552056863,0.524989431272229,0.776022996984176,1.05299557941599,0.0449718297085315,14.2857142857143,14.2857142857143
"may_22_ortho","2",3,0.0496448054560128,0.0558905623796822,0.0496448054560128,0.049917751993816,0.0609831157403782,0.0895596248333554,0.0296873957673415,0.0727250936065188,0.0861927185879881,1.02316890958166,0.185925401592068,100,100
"may_22_ortho","3",32,0.158258027260002,0.1521936914701,0.161526036219052,0.081357468343551,0.185077399750563,0.402645075039183,0.0989604226964896,0.204232035460263,0.329324241909286,1.10506681075329,2.35864981206863e-10,25,71.875
"may_22_ortho","4",8,0.22325855928511,0.220031142105682,0.22325855928511,0.138911130361635,0.251476183127911,0.358245298620409,0.150771303994523,0.338698342225221,0.353315749087305,0.906582299815762,0.00139400827206418,12.5,50
"may_22_ortho","5",9,0.14789625831677,0.121416809557573,0.14789625831677,0.0726833066431565,0.17997839130704,0.364486752880981,0.0723925908585603,0.167460150983581,0.330022197645145,0.484469182306321,0.00354074325682009,44.4444444444444,77.7777777777778
"may_22_ortho","6",26,0.184212645163288,0.180082815338098,0.184212645163288,0.113891757058196,0.205675355086855,0.418440938021162,0.102250087129393,0.23566603510015,0.314304047430002,0.874223482729864,2.79160221920567e-10,23.0769230769231,61.5384615384615
