poly_number,point_number,subclass,northing,easting,elevation,notes,date,type,veg_height_cm,veg_height_m,outside_mask,out_rgb_may,out_lidar_may,out_rgb_aug,out_lidar_aug,site,predicted
NA,2,1,4636922.437,416778.071,0.783,NA,2022-08-24,EVP,156,1.56,NA,NA,NA,NA,NA,wel,NA
NA,3,1,4636979.37,416544.445,1.31,NA,2022-08-24,EVP,126,1.26,NA,NA,NA,NA,NA,wel,NA
NA,4,10,4636933.18,416554.77,1.229,NA,2022-08-24,EVP,44,0.44,NA,NA,NA,NA,NA,wel,NA
NA,6,1,4637343.51,417086.239,1.316,NA,2022-08-07,EVP,62,0.62,NA,NA,NA,NA,NA,wel,1.3287608596435105
NA,8,10,4637198.851,417033.29,1.493,NA,2022-08-07,EVP,16,0.16,NA,NA,NA,NA,NA,wel,1.5158772238478306
NA,10,1,4637054.216,416704.921,1.304,NA,2022-08-24,EVP,59,0.59,NA,NA,NA,NA,NA,wel,NA
NA,11,1,4637274.41,416762.536,1.287,NA,2022-08-24,EVP,72,0.72,NA,NA,NA,NA,NA,wel,NA
NA,13,1,4636979.35,416552.539,1.209,NA,2022-08-24,EVP,121,1.21,NA,NA,NA,NA,NA,wel,NA
NA,15,1,4637016.153,416725.187,1.416,NA,2022-08-24,EVP,94,0.94,NA,NA,NA,NA,NA,wel,NA
NA,16,3,4637121.674,416861.86,1.554,NA,2022-08-24,EVP,12,0.12,NA,NA,NA,NA,NA,wel,NA
NA,18,1,4637053.988,416581.132,1.192,NA,2022-08-24,EVP,174,1.74,NA,NA,NA,NA,NA,wel,NA
NA,19,3,4636980.748,416836.408,1.376,NA,2022-08-24,EVP,24,0.24,NA,NA,NA,NA,NA,wel,NA
NA,20,1,4637425.806,417163.474,0.47,NA,2022-08-07,EVP,132,1.32,NA,NA,NA,NA,NA,wel,0.5442700385857158
NA,21,3,4637100.336,416775.849,1.438,NA,2022-08-24,EVP,37,0.37,NA,NA,NA,NA,NA,wel,NA
