RTCM0057,,4615954.56,419521.353,15.116
12,21411121,4613577.421,413795.965,0.776
13,21411074,4613584.734,413781.797,0.415
25,21384665,4613591.215,413750.343,0.274
24,21411058,4613591.113,413725.865,0.442
26,21410921,4613599.153,413738.357,0.128
36,21384536,4613615.568,413650.663,0.254
15,21411061,4613627.056,413749.148,0.484
35,21410929,4613603.504,413766.418,0.04
17,21440245,4613659.18,413729.29,0.521
18,2138644,4613689.954,413711.382,0.537
22,21384656,4613701.398,413713.053,0.446
19,21384618,4613702.622,413707.797,0.522
20,21384595,4613713.498,413689.564,0.414
21b,20358395,4613715.807,413682.258,0.158
16,21384654,4613644.327,413751.235,0.539
23,21384654,4613644.321,413751.24,0.543
1a,21384699,4613628.584,413356.378,0.744
2,21384576,4613632.416,413349.214,0.749
3,21384636,4613659.604,413347.1,0.683
4,21440243,4613670.925,413344.033,0.596
5,21410972,4613687.444,413342.268,0.628
6,21384647,4613713.162,413345.904,0.486
7,21410927,4613717.503,413346.159,0.002
8,21411051,4613719.022,413346.092,0.4
9,21440242,4613727.777,413344.567,0.53
10,21440244,4613732.627,413344.57,0.549
11,21410928,4613726.047,413361.58,0.572
42,21410933,4613840.687,413643.528,-0.157
34,21440246,4613832.259,413648.658,0.507
33,21384670,4613829.304,413658.323,0.634
32,21384660,4613824.007,413666.411,0.666
31,21384635,4613827.644,413671.684,0.682
30,21440249,4613824.453,413677.149,0.671
29,21440250,4613818.867,413682.845,0.63
28,21384591,4613816.163,413694.162,0.57
27,21440248,4613807.941,413705.112,0.267
41,21071951,4613967.221,413686.908,0.384
40,21384682,4613965.576,413689.937,0.5
39,21440247,4613959.38,413698.103,0.775
38,21410932,4613957.857,413709.266,0.716
37a,21410924,4613958.274,413716.277,0.704
?,21384682,4613965.534,413690.037,0.53
