Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude
14,Oct,2018,3,9,01ag,01,ag,line,4737142.99,347669.529,0.817
14,Oct,2018,3,10,01ag,01,ag,line,4737140.927,347668.307,0.82
14,Oct,2018,4,11,01a,01,a,1 mu,4737137.883,347667.519,1.026
14,Oct,2018,5,12,06a,06,a,line,4737136.489,347685.489,1.397
14,Oct,2018,5,13,06a,06,a,line,4737142.124,347677.821,1.362
14,Oct,2018,6,14,02a,02,a,line,4737143.087,347676.048,1.318
14,Oct,2018,6,15,02a,02,a,line,4737143.742,347675.104,1.303
14,Oct,2018,7,16,01a,01,a,1 mu,4737144.784,347673.312,1.22
14,Oct,2018,8,17,27bg,27,bg,1 mu,4737145.324,347672.212,1.081
14,Oct,2018,9,18,01bg,01,bg,line,4737145.86,347670.816,0.721
14,Oct,2018,9,19,01bg,01,bg,line,4737146.434,347669.849,0.645
14,Oct,2018,10,20,22r,22,r,line,4737146.83,347669.101,0.391
14,Oct,2018,10,21,22r,22,r,line,4737145.685,347668.437,0.408
14,Oct,2018,11,22,01g,01,g,line,4737147.392,347666.902,-0.118
14,Oct,2018,11,23,01g,01,g,line,4737144.912,347666.442,0.085
14,Oct,2018,11,24,01g,01,g,line,4737141.797,347664.707,0.028
14,Oct,2018,11,25,01g,01,g,line,4737140.83,347666.255,0.732
14,Oct,2018,11,26,01g,01,g,line,4737139.932,347667.192,0.929
14,Oct,2018,12,27,01a,01,a,1 mu,4737139.086,347668.59,1.156
14,Oct,2018,13,28,02a,02,a,1 mu,4737138.305,347670.07,1.212
14,Oct,2018,14,29,01a,01,a,1 mu,4737137.473,347671.346,1.221
14,Oct,2018,15,30,02a,02,a,line,4737136.225,347673.093,1.227
14,Oct,2018,15,31,02a,02,a,line,4737135.76,347673.704,1.244
14,Oct,2018,16,32,06a,06,a,line,4737135.144,347675.323,1.387
14,Oct,2018,16,33,06a,06,a,line,4737133.799,347675.426,1.396
14,Oct,2018,17,34,05a,05,a,line,4737126.39,347677.195,1.398
14,Oct,2018,17,35,05a,05,a,line,4737124.727,347677.697,1.412
14,Oct,2018,18,36,03a,03,a,1 mu,4737123.341,347678.042,1.282
14,Oct,2018,20,47,06a,06,a,1 mu,4737120.446,347677.779,1.394
14,Oct,2018,22,52,06a,06,a,line,4737118.382,347675.723,1.421
14,Oct,2018,22,53,06a,06,a,line,4737113.249,347676.096,1.384
14,Oct,2018,23,54,05a,05,a,1 mu,4737111.97,347676.923,1.402
14,Oct,2018,24,55,03a,03,a,line,4737110.378,347677.311,1.333
14,Oct,2018,24,56,03a,03,a,line,4737105.923,347674.303,1.324
14,Oct,2018,25,57,04a,04,a,line,4737104.774,347675.523,1.379
14,Oct,2018,25,58,04a,04,a,line,4737099.427,347671.634,1.373
14,Oct,2018,26,59,03a,03,a,1 mu,4737100.201,347670.63,1.312
14,Oct,2018,27,60,04a,04,a,line,4737101.275,347669.601,1.37
14,Oct,2018,27,61,04a,04,a,line,4737102.82,347668.168,1.38
14,Oct,2018,28,62,06a,06,a,line,4737104.078,347666.965,1.402
14,Oct,2018,28,63,06a,06,a,line,4737112.322,347659.816,1.396
14,Oct,2018,29,64,01a,01,a,line,4737113.545,347658.677,1.195
14,Oct,2018,29,65,01a,01,a,line,4737113.912,347658.341,1.171
14,Oct,2018,30,66,01ag,01,ag,line,4737114.576,347657.249,1.043
14,Oct,2018,30,67,01ag,01,ag,line,4737115.152,347656.387,0.754
14,Oct,2018,30,68,01ag,01,ag,line,4737113.681,347655.311,0.869
14,Oct,2018,30,69,01ag,01,ag,line,4737113.909,347654.305,0.437
14,Oct,2018,31,70,01a,01,a,1 mu,4737111.83,347654.396,1.037
14,Oct,2018,32,71,01ag,01,ag,1 mu,4737107.637,347650.91,1.03
14,Oct,2018,33,72,02a,02,a,line,4737105.52,347650.344,1.349
14,Oct,2018,33,73,02a,02,a,line,4737100.489,347644.418,1.347
14,Oct,2018,34,74,06a,06,a,line,4737099.211,347644.652,1.363
14,Oct,2018,34,75,06a,06,a,line,4737098.677,347644.656,1.371
14,Oct,2018,35,76,02a,02,a,1 mu,4737097.432,347644.919,1.369
14,Oct,2018,36,77,06a,06,a,line,4737095.769,347645.082,1.367
14,Oct,2018,36,78,06a,06,a,line,4737090.975,347645.814,1.429
14,Oct,2018,37,79,05a,05,a,line,4737089.629,347646.974,1.366
14,Oct,2018,37,80,05a,05,a,line,4737086.313,347649.877,1.399
14,Oct,2018,38,81,03a,03,a,line,4737085.279,347650.818,1.301
14,Oct,2018,38,82,03a,03,a,line,4737083.929,347652.04,1.36
14,Oct,2018,39,83,04a,04,a,line,4737082.998,347652.848,1.386
14,Oct,2018,39,84,04a,04,a,line,4737082.494,347653.416,1.382
14,Oct,2018,40,85,03a,03,a,line,4737081.637,347654.424,1.324
14,Oct,2018,40,86,03a,03,a,line,4737080.679,347655.721,1.356
14,Oct,2018,41,87,04a,04,a,line,4737079.397,347656.987,1.375
14,Oct,2018,41,88,04a,04,a,line,4737077.358,347659.309,1.348
14,Oct,2018,42,89,03a,03,a,1 mu,4737076.45,347660.807,1.274
14,Oct,2018,43,90,02a,02,a,line,4737075.777,347661.861,1.299
14,Oct,2018,43,91,02a,02,a,line,4737072.109,347666.363,1.205
14,Oct,2018,43,92,02a,02,a,line,4737063.774,347659.648,1.253
14,Oct,2018,45,99,06a,06,a,line,4737061.849,347661.304,1.224
14,Oct,2018,45,100,06a,06,a,line,4737059.981,347663.622,1.27
14,Oct,2018,46,101,02a,02,a,line,4737058.992,347665.133,1.2
14,Oct,2018,46,102,02a,02,a,line,4737074.066,347675.2,1.234
14,Oct,2018,46,103,02a,02,a,line,4737073.136,347676.832,1.235
14,Oct,2018,48,110,04a,04,a,line,4737063.473,347672.077,1.206
14,Oct,2018,48,111,04a,04,a,line,4737061.309,347674.92,1.217
14,Oct,2018,49,112,02a,02,a,1 mu,4737060.079,347676.476,1.156
