,NAD 83 UTM 19N (EPSG Code: 26919),,,,,
,Units: meters,,,,,
TRANSECT,POINT #,SUBCLASS,NORTHING,EASTING,ELEVATION,NOTES
16,97,21fgknr,4670482.819,357542.541,1.056,edge cont.
16,98,21fgknr,4670481.642,357543.601,1.006,edge cont.
16,99,21fgknr,4670481.102,357544.346,0.937,edge cont.
16,100,21fgknr,4670480.54,357545.158,0.977,edge cont.
16,101,21fgknr,4670480.253,357546.113,0.923,edge cont.
16,102,21fgknr,4670479.752,357547.127,0.945,edge cont.
16,103,21fgknr,4670479.197,357548.169,0.881,edge cont.
16,104,21fgknr,4670484.284,357542.704,0.648,depth
16,105,21fgknr,4670481.194,357545.299,0.208,depth
16,106,21fgknr,4670480.565,357548.177,-0.548,depth
17,107,14a,4670509.169,357491.309,1.49,with juncus
17,108,14a,4670528.698,357480.51,1.529,with juncus
17,109,12a,4670529.783,357479.217,1.558,1 MU
17/18,110,08a,4670531.051,357478.225,1.521,
18/19,111,08a,4670538.008,357471.591,1.504,
19,112,14a,4670539.588,357472.105,1.445,
19,113,14a,4670540.477,357469.716,1.422,
19,114,06a,4670541.149,357468.272,1.416,
19,115,06a,4670542.669,357465.174,1.429,
19/20,116,07a,4670543.023,357463.81,1.482,
20,117,07a,4670549.319,357460.598,1.515,
20,118,07a,4670561.148,357459.712,1.423,
20,119,12a,4670562.325,357459.376,1.462,
20,120,12a,4670566.895,357459.491,1.492,
20,121,07a,4670568.066,357459.461,1.42,
20,122,24gjmr,4670577.971,357474.979,0.543,
20,123,24gjmr,4670574.074,357477.907,0.775,
20,124,24gjmr,4670567.977,357483.084,0.767,
20,125,24gjmr,4670558.601,357492.888,1.019,
20,126,24gjmr,4670539.13,357511.994,1.063,
20,127,24gjmr,4670534.808,357512.395,0.788,
20,128,24gjmr,4670535.077,357514.612,0.648,
20,129,24gjmr,4670526.077,357524.177,0.578,
20,130,24gjmr,4670514.974,357534.047,1.043,
20,131,24gjmr,4670513.844,357534.466,1.107,
20,132,24gjmr,4670512.907,357535.772,1.064,
20,133,24gjmr,4670511.527,357536.212,1.118,
20,134,24gjmr,4670507.091,357540.787,1.141,vegetation on slumped edge
20,135,24gjmr,4670503.073,357544.313,1.119,
20,136,24gjmr,4670498.62,357548.794,1.184,
20,137,24gjmr,4670496.524,357549.613,0.923,
20,138,24gjmr,4670493.801,357549.89,0.803,
20,139,24gjmr,4670489.585,357549.032,1.027,
20,140,13a,4670523.884,357525.972,1.031,
20,141,13a,4670521.088,357522.534,1.264,
20,142,13a,4670539.584,357506.415,1.227,
20,143,13a,4670550.123,357497.036,1.279,
20,144,13a,4670574.219,357473.342,1.254,
20,145,13a,4670579.216,357473.588,0.654,
