,,RTCM0052,,4644294.634,362797.686,40.023,
,Transect,Point Number,Subclass,,,,Notes
,,113,03a,4670312.684,358025.566,1.019,
1,,114,01a,4670313.381,358024.534,0.997,
,,115,01a,4670316.767,358018.997,0.93,
1,,116,03a,4670318.267,358019.566,0.97,
,,117,03a,4670319.555,358037.72,1.067,
1,,118,02a,4670318.605,358039.201,1.124,
,,119,02a,4670320.709,358041.796,1.19,
,,120,02a,4670334.357,358045.619,1.232,
1,,121,32,4670339.415,358049.163,1.296,new transect
,,122,32,4670344.163,358054.146,1.383,
1,,123,02a,4670345.456,358052.861,1.216,
2,,124,32,4670349.13,358056.616,1.271,new transect
,,125,32,4670354.823,358056.922,1.22,new transect
1,,126,04a,4670356.515,358056.617,1.198,
,,127,04a,4670360.573,358057.571,1.163,
1,,128,02a,4670361.771,358058.272,1.149,
,,129,02a,4670363.068,358057.128,1.049,
,,130,02a,4670363.539,358055.352,1.029,
1,,131,01a,4670364.181,358053.736,1.045,
,,132,01a,4670367.337,358047.371,0.887,
1,,133,21gj,4670371.009,358032.823,0.678,
,,134,21gj,4670369.544,358041.034,0.782,
,,135,21gj,4670366.053,358056.356,0.945,
,,136,21gj,4670367.882,358055.561,1.014,
,,137,21gj,4670370.183,358047.486,0.945,
,,138,21gj,4670372.955,358036.295,0.772,
1,,139,01a,4670373.623,358036.87,0.775,
,,140,01a,4670372.183,358047.97,0.935,
,,141,01a,4670370.773,358047.593,0.975,
1,,142,02a,4670371.062,358049.414,0.967,
,,143,02a,4670369.396,358056.849,1.092,
1,,144,01a,4670368.891,358058.155,0.985,
,,145,01a,4670371.392,358061.735,0.973,
1,,146,02a,4670372.429,358063.085,1.023,
2,,147,32,4670369.729,358073.424,1.139,new transect
,,148,32,4670373.306,358075.849,1.114,new transect
,,149,32,4670372.612,358080.815,1.277,new transect
,,150,32,4670379.558,358091.192,1.298,new transect
1,,151,33,4670380.182,358092.468,1.304,
,,152,33,4670389.407,358089.521,1.228,
1,,153,01a,4670390.195,358087.999,1.224,thin TSA
,,154,01a,4670405.884,358087.779,1.146,thin TSA
1,,155,01b,4670405.495,358089.395,1.182,
,,156,01b,4670396.185,358090.092,1.284,
,,157,01b,4670397.356,358094.202,1.278,
1,,158,33,4670398.125,358095.433,1.269,
,,159,33,4670429.466,358097.246,1.217,
,,160,33,4670432.144,358091.952,1.2,
1,,161,01a,4670432.738,358090.193,1.225,
,,162,01a,4670435.041,358088.199,1.243,
1,,163,02a,4670434.158,358084.096,1.173,
,,164,02a,4670433.722,358082.219,1.176,
1,,165,01a,4670433.605,358080.93,1.06,
,,166,01a,4670438.728,358080.165,1.156,
,,167,01a,4670441.722,358085.928,1.302,
1,,168,33,4670442.615,358087.354,1.315,
,,169,33,4670444.791,358085.902,1.276,
1,,170,01a,4670445.465,358084.659,1.256,
2,,171,33,4670447.021,358084.266,1.208,
3,,172,01b,4670447.833,358082.915,1.237,
,,173,01b,4670452.789,358078.999,1.129,
1,,174,10a,4670453.923,358078.147,1.166,
,,175,10a,4670455.294,358078.914,1.186,
1,,176,3,4670457.458,358070.651,1.155,new transect
2,,177,02a,4670468.492,358054.068,1.201,
,,178,02a,4670475.586,358046.967,1.18,
1,,179,01a,4670476.673,358046.288,1.225,
2,,180,02a,4670475.437,358045.055,1.179,
,,181,02a,4670474.514,358043.263,1.22,
1,,182,03a,4670473.93,358041.867,1.131,
,,183,03a,4670467.782,358039.854,1.056,
1,,184,02a,4670466.379,358039.643,1.059,
,,185,02a,4670462.485,358038.215,1.035,
1,,186,01b,4670462.846,358037.001,0.955,
,,187,01b,4670460.334,358035.809,0.908,
1,,188,01a,4670458.834,358035.22,0.987,
,,189,01a,4670447.157,358032.149,0.899,
1,,190,21j,4670447.342,358031.267,0.757,
,,191,21j,4670455.225,358032.518,0.69,
,,192,21j,4670463.701,358033.979,0.862,
,,193,21j,4670463.927,358033.254,0.899,
,,194,21j,4670456.324,358031.495,0.937,
,,195,21j,4670449.994,358030.484,0.856,
1,,196,01a,4670454.17,358029.618,0.904,new transect
,,197,01a,4670467.032,358032.997,0.942,new transect
1,,198,02a,4670468.619,358032.273,1.005,
