poly_number,point_number,subclass,northing,easting,elevation,notes,date,type,veg_height_cm,veg_height_m,outside_mask,out_rgb_may,out_lidar_may,out_rgb_aug,out_lidar_aug,site,predicted
NA,1,12,4613719.729,413346.977,0.515,NA,2022-08-06,EVP,270,2.7,NA,NA,NA,NA,NA,rr,0.7169491167516133
NA,2,11,4613999.848,413719.588,0.559,NA,2022-08-10,EVP,129,1.29,NA,NA,NA,NA,NA,rr,0.7219206658223284
NA,3,9,4613675.769,413364.098,0.635,NA,2022-08-06,EVP,85,0.85,NA,NA,NA,NA,NA,rr,0.8081020841830187
NA,4,12,4613750.63,413302.094,0.65,NA,2022-08-06,EVP,235,2.35,NA,NA,NA,NA,NA,rr,0.8128055997026165
NA,7,9,4613607.752,413307.921,0.729,NA,2022-08-06,EVP,61,0.61,NA,NA,NA,NA,NA,rr,0.8327452660844611
NA,8,11,4613774.626,413472.281,0.672,NA,2022-08-10,EVP,178,1.78,NA,NA,NA,NA,NA,rr,0.9661196897907884
NA,9,3,4613803.104,413771.556,0.348,NA,2022-08-06,EVP,23,0.23,NA,NA,NA,NA,NA,rr,0.5083118320581128
NA,10,12,4613902.18,413797.335,0.608,NA,2022-08-10,EVP,275,2.75,NA,NA,NA,NA,NA,rr,0.7503599996844958
NA,11,9,4613520.121,413220.163,0.788,NA,2022-08-06,EVP,81,0.81,NA,NA,NA,NA,NA,rr,0.9317043255145072
NA,12,11,4613977.298,413709.515,0.595,NA,2022-08-10,EVP,168,1.68,NA,NA,NA,NA,NA,rr,0.8315311819344967
NA,13,11,4613994.122,413722.482,0.586,NA,2022-08-10,EVP,169,1.69,NA,NA,NA,NA,NA,rr,0.8979827327683694
NA,14,12,4613878.459,413749.058,0.67,NA,2022-08-10,EVP,202,2.02,NA,NA,NA,NA,NA,rr,0.7950809619634766
NA,15,12,4613734.812,413369.022,0.534,NA,2022-08-06,EVP,304,3.04,NA,NA,NA,NA,NA,rr,0.8658800086973981
NA,16,12,4613596.538,413303.655,0.676,NA,2022-08-06,EVP,202,2.02,NA,NA,NA,NA,NA,rr,0.8346495971714138
NA,17,3,4613869.892,413785.685,0.544,NA,2022-08-10,EVP,25,0.25,NA,NA,NA,NA,NA,rr,0.6475999784470536
NA,18,9,4613485.731,413514.924,0.75,NA,2022-08-06,EVP,59,0.59,NA,NA,NA,NA,NA,rr,0.9761779427234119
NA,19,8,4613530.843,413254.286,0.673,NA,2022-08-06,EVP,26,0.26,NA,NA,NA,NA,NA,rr,0.8731443142138577
NA,20,12,4613658.762,413343.502,0.698,NA,2022-08-06,EVP,181,1.81,NA,NA,NA,NA,NA,rr,0.8039600081368908
NA,21,1,4613843.445,413794.049,0.462,NA,2022-08-10,EVP,47,0.47,NA,NA,NA,NA,NA,rr,0.6096128096029774
NA,22,11,4613883.634,413719.432,0.649,NA,2022-08-10,EVP,110,1.1,NA,NA,NA,NA,NA,rr,0.9318379254177156
NA,23,1,4613726.43,413525.319,0.26,NA,2022-08-10,EVP,92,0.92,NA,NA,NA,NA,NA,rr,0.46938718782804384
NA,24,9,4613583.122,413446.064,0.785,NA,2022-08-06,EVP,80,0.8,NA,NA,NA,NA,NA,rr,1.024581445300798
NA,25,9,4613727.061,413296.572,0.617,NA,2022-08-06,EVP,87,0.87,NA,NA,NA,NA,NA,rr,0.769994540915669
NA,26,12,4613654.358,413337.277,0.644,NA,2022-08-06,EVP,207,2.07,NA,NA,NA,NA,NA,rr,0.8628265691456023
NA,28,2,4613893.43,413835.706,0.485,NA,2022-08-10,EVP,58,0.58,NA,NA,NA,NA,NA,rr,0.7504360146795884
NA,29,11,4613936.681,413697.469,0.681,NA,2022-08-10,EVP,167,1.67,NA,NA,NA,NA,NA,rr,0.8833222320625004
NA,30,3,4613681.684,413777.122,0.494,NA,2022-08-06,EVP,21,0.21,NA,NA,NA,NA,NA,rr,0.5877599764433801
NA,31,3,4613726.156,413379.66,0.601,NA,2022-08-06,EVP,44,0.44,NA,NA,NA,NA,NA,rr,0.7626535890035491
NA,32,1,4613707.313,413553.831,0.368,NA,2022-08-10,EVP,89,0.89,NA,NA,NA,NA,NA,rr,0.579855369912653
NA,33,9,4613926.504,413690.34,0.673,NA,2022-08-10,EVP,103,1.03,NA,NA,NA,NA,NA,rr,0.7723079827484545
NA,34,11,4613881.35,413739.4,0.653,NA,2022-08-10,EVP,80,0.8,NA,NA,NA,NA,NA,rr,0.9316000056920573
NA,35,1,4613596.014,413461.886,0.712,NA,2022-08-06,EVP,54,0.54,NA,NA,NA,NA,NA,rr,0.8750753599100045
NA,37,3,4613512.293,413867.037,0.396,NA,2022-08-06,EVP,21,0.21,NA,NA,NA,NA,NA,rr,0.5423091392665601
