"source","group","n","mean_bias","median_bias","mae","mad","rmse","max_abs","q25_abs","q75_abs","q95_abs","slope","bias_p","pct_within_10cm","pct_within_20cm"
"lidar_spring","overall",169,0.165409133270291,0.162420009255102,0.166603608439918,0.0485403422217658,0.173995424698749,0.331880008697398,0.132927980500717,0.196580781325113,0.25635091552657,0.958077625406431,2.62994957948949e-87,6.50887573964497,75.7396449704142
"lidar_spring","1",26,0.181042749289694,0.185904479753307,0.187345297413343,0.0394070443837168,0.191259420000714,0.256817610638025,0.162294043632003,0.218833608073695,0.231994989188127,0.880757042986404,8.56273611567722e-14,3.84615384615385,53.8461538461538
"lidar_spring","10",1,0.0760063858667881,0.0760063858667881,0.0760063858667881,0,0.0760063858667881,0.0760063858667881,0.0760063858667881,0.0760063858667881,0.0760063858667881,NA,NA,100,100
"lidar_spring","11",8,0.24138410419839,0.257565593813277,0.24138410419839,0.0674369764555392,0.247751155815436,0.311982732768369,0.192471840502457,0.285658366510984,0.305730667726216,1.153543194132,8.73705533782252e-06,0,25
"lidar_spring","12",8,0.180938982656688,0.160727598437015,0.180938982656688,0.0569823631444458,0.192881878085788,0.331880008697398,0.138040240254241,0.206168479850111,0.292311304854269,0.232842746591786,0.00018300496187269,0,62.5
"lidar_spring","2",4,0.24366316155667,0.253599518835877,0.24366316155667,0.0157666831000453,0.24498508166172,0.265436014679588,0.233629686390661,0.263632994001886,0.265075410544048,1.2137294905267,0.000475423216594189,0,0
"lidar_spring","3",36,0.1323864406233,0.12993457034072,0.1323864406233,0.0334873181008015,0.138929251848134,0.274668780694717,0.105756155126157,0.145708882662076,0.215013849170674,0.985631417436968,1.02442846809554e-19,16.6666666666667,91.6666666666667
"lidar_spring","4",8,0.146229539427479,0.141226407420694,0.146229539427479,0.0312479773937146,0.149229037418385,0.209839983474314,0.122297374548963,0.155967788921745,0.196233666736707,0.901094521973217,3.71708796943452e-06,0,87.5
"lidar_spring","5",19,0.173727432366917,0.171681606749057,0.173727432366917,0.0198507416421794,0.175957608041405,0.233499190731047,0.156626223425584,0.184769117971068,0.223060646021654,0.93102043023094,7.65694372855706e-16,0,84.2105263157895
"lidar_spring","6",15,0.155412257978896,0.162159981326059,0.155412257978896,0.0354495563567315,0.157991978582209,0.20293313172379,0.131148391065795,0.170780013400272,0.198117789107026,0.92315285856309,7.94739522883995e-12,0,93.3333333333333
"lidar_spring","7",7,0.161602582667871,0.162121273687216,0.161602582667871,0.0386975555165215,0.165229690954523,0.227517456195504,0.133858388467819,0.176106809439146,0.215728944526086,0.918158140695387,2.60123450837558e-05,0,85.7142857142857
"lidar_spring","8",14,0.169336892501295,0.182131055042412,0.169336892501295,0.0317432762173858,0.171880643645683,0.21186158776292,0.146406200672935,0.190647366479805,0.204245359956029,0.704356020510864,2.42418442977236e-11,0,85.7142857142857
"lidar_spring","9",22,0.171231841101473,0.174023514405853,0.171231841101473,0.0335251546541339,0.177100002294124,0.255650872859387,0.151765610686396,0.196580301922118,0.238911270171929,0.86296289888876,6.26034961752938e-14,9.09090909090909,77.2727272727273
"lidar_spring","N/A",1,-0.0190000262260437,-0.0190000262260437,0.0190000262260437,0,0.0190000262260437,0.0190000262260437,0.0190000262260437,0.0190000262260437,0.0190000262260437,NA,NA,100,100
"lidar_summer","overall",168,0.22145451770798,0.191681523603816,0.22145451770798,0.0833113282804722,0.245020161996551,0.585999971389771,0.146881998821952,0.276846497973721,0.434732384720425,0.737440164856404,1.85796598954848e-63,7.14285714285714,52.9761904761905
"lidar_summer","1",26,0.364517099646459,0.388023822115339,0.364517099646459,0.113217278647884,0.383247597670547,0.585999971389771,0.288723718134045,0.440093770871385,0.523152957644634,0.474400115981604,2.88836275755838e-14,3.84615384615385,7.69230769230769
"lidar_summer","10",1,0.0935743776887924,0.0935743776887924,0.0935743776887924,0,0.0935743776887924,0.0935743776887924,0.0935743776887924,0.0935743776887924,0.0935743776887924,NA,NA,100,100
"lidar_summer","11",8,0.293538038502102,0.302377602105196,0.293538038502102,0.106962828736073,0.301069961034079,0.393564119491216,0.226953922489225,0.336644018745034,0.387128281230796,0.949823930635034,7.95721057012363e-06,0,0
"lidar_summer","12",8,0.229141281547738,0.227698964503148,0.229141281547738,0.0787952142759978,0.239312511321505,0.343679988385811,0.17778847836825,0.271175560404281,0.329819380179924,0.550311193813227,4.99898296094328e-05,0,37.5
"lidar_summer","2",4,0.334989481090054,0.319516957962803,0.334989481090054,0.102517857982765,0.347524469215092,0.469072796364711,0.259628809073193,0.394877629979665,0.454233763087702,0.136896329761046,0.00817858014345326,0,0
"lidar_summer","3",36,0.145142427178128,0.136002488328233,0.145142427178128,0.0407884852276117,0.153289690996558,0.319159987768464,0.119506872460192,0.169110073626656,0.223179076560126,0.838807637794625,8.10453758281069e-19,16.6666666666667,88.8888888888889
"lidar_summer","4",8,0.171975795785286,0.169552306367525,0.171975795785286,0.0189573794214679,0.179019381803282,0.282320635658567,0.153819599374383,0.179555847519392,0.249275147706251,0.748286435807838,3.82766764599154e-05,0,87.5
"lidar_summer","5",19,0.200053645011938,0.186617598982069,0.200053645011938,0.0584784940826828,0.20685146945552,0.322271962015521,0.159942880360584,0.239815993498366,0.300298465077173,0.843789059539263,3.76886527545614e-12,0,68.4210526315789
"lidar_summer","6",15,0.173051689999904,0.196090231524241,0.173051689999904,0.0599919373195526,0.18023621179904,0.253820180629008,0.127096163839633,0.213867032338528,0.235942062012503,0.935510944207194,3.85848264581553e-09,6.66666666666667,60
"lidar_summer","7",7,0.188235066338859,0.182363219300179,0.188235066338859,0.0360165102222472,0.191322512653438,0.249050235661973,0.160495218527699,0.209900786343464,0.239895670301169,0.796079832907391,1.0379318635189e-05,0,57.1428571428571
"lidar_summer","8",14,0.166405440104635,0.171089592592404,0.166405440104635,0.0247404613490258,0.169104736649699,0.214790382777323,0.154911274865307,0.182876415090249,0.205919804853835,0.521720577962408,3.95240427873976e-11,7.14285714285714,85.7142857142857
"lidar_summer","9",22,0.248495342996716,0.24102111201797,0.248495342996716,0.094813103228445,0.263950231629295,0.432712833390846,0.196453829996173,0.313809210233258,0.351239822292671,1.01077149283095,2.20802575555822e-11,9.09090909090909,27.2727272727273
"lidar_summer","N/A",0,NA,NA,NA,NA,NA,-Inf,NA,NA,NA,NA,NA,NA,NA
"photo_spring_hesai","overall",165,0.205963973269037,0.154587481242253,0.279373792769534,0.155569191222673,0.611798651461238,6.54281301624385,0.119059970409939,0.289726067036184,0.68532884214992,0.2274430128811,9.2138101153824e-06,19.3939393939394,57.5757575757576
"photo_spring_hesai","1",26,0.470654557352911,0.24694943396078,0.474457911702162,0.0669272305186725,1.30570608486231,6.54281301624385,0.199024393836518,0.278200257448449,0.367316412544206,-4.29137805245912,0.064743537178189,11.5384615384615,30.7692307692308
"photo_spring_hesai","10",1,0.085177266179323,0.085177266179323,0.085177266179323,0,0.085177266179323,0.085177266179323,0.085177266179323,0.085177266179323,0.085177266179323,NA,NA,100,100
"photo_spring_hesai","11",8,0.394470370934588,0.398281608158849,0.394470370934588,0.190768441021258,0.438829359916691,0.702109301125834,0.296119524018315,0.512974668487792,0.656988265382626,0.47046354772763,0.000978286714403472,12.5,12.5
"photo_spring_hesai","12",7,0.539058128961015,0.398128214402625,0.551816849534144,0.598453831141331,0.812703082680958,1.86006182398533,0.124347036222258,0.675155235615482,1.551027301922,2.8128939179888,0.0729573776545651,28.5714285714286,28.5714285714286
"photo_spring_hesai","2",4,0.266525769128992,0.283042182533802,0.266525769128992,0.0303121119474764,0.27039563155128,0.307919904970357,0.24829677123408,0.301271180428714,0.306590160062028,1.36202918083195,0.0020508934883936,0,25
"photo_spring_hesai","3",35,0.0568306989494952,0.107684875977126,0.135025482244474,0.0854340788982633,0.172034609775063,0.547139602090544,0.0612033319092792,0.165188209711409,0.319125707557843,-0.42656353097218,0.0490966405078687,31.4285714285714,85.7142857142857
"photo_spring_hesai","4",8,-0.176872103354358,0.0215645538810326,0.350383041129127,0.272008523390904,0.605682914844366,1.63140463289875,0.119395316946687,0.262670830718603,1.17525855664122,-2.06620928059645,0.445769812678457,25,50
"photo_spring_hesai","5",19,0.0787939493925466,0.135861157970933,0.178670065078162,0.119740831286946,0.19316135744908,0.316942805813274,0.120988642426448,0.232738187108897,0.294657267160496,1.47667527450404,0.0741971593153105,15.7894736842105,63.1578947368421
"photo_spring_hesai","6",15,0.0593164563149912,0.140377064140112,0.155201775680975,0.0561878383678396,0.167806701347192,0.325677009857025,0.118988011813234,0.184952966197621,0.250293347022284,1.07469212111087,0.179247182938563,13.3333333333333,86.6666666666667
"photo_spring_hesai","7",7,0.02223655832966,0.108954582154121,0.212241618519538,0.312561254015543,0.226040076203672,0.319774259758022,0.149409400876344,0.279108330144421,0.308407223573438,1.74774448050221,0.816734558791787,0,57.1428571428571
"photo_spring_hesai","8",14,0.134760813867446,0.138622440105407,0.134760813867446,0.0512713602211397,0.155693725649213,0.37032332636324,0.0732723785116203,0.151893858803581,0.250126365201805,1.3440596841023,3.06157101359494e-05,35.7142857142857,92.8571428571429
"photo_spring_hesai","9",21,0.412540479203988,0.418466448216483,0.426997716320739,0.349468578255033,0.49616825602781,0.92069074092484,0.187883638351612,0.654179774976926,0.831230740910143,0.906902006410096,1.63264529848815e-06,9.52380952380952,28.5714285714286
"photo_spring_hesai","N/A",0,NA,NA,NA,NA,NA,-Inf,NA,NA,NA,NA,NA,NA,NA
"photo_spring_mica","overall",169,0.215167119807023,0.181068300179889,0.215167119807023,0.0821014624306096,0.263368269397311,1.04716421169723,0.134728670907945,0.243593777477162,0.462609470791151,1.13289595296711,5.1298630031416e-42,14.792899408284,61.5384615384615
"photo_spring_mica","1",26,0.230148549334742,0.228094507522541,0.230148549334742,0.045726715654716,0.236464322984062,0.384303474251384,0.195076808791003,0.256604201989597,0.331329739035145,0.714427410314974,1.70861886386282e-17,0,26.9230769230769
"photo_spring_mica","10",1,0.0315984697152918,0.0315984697152918,0.0315984697152918,0,0.0315984697152918,0.0315984697152918,0.0315984697152918,0.0315984697152918,0.0315984697152918,NA,NA,100,100
"photo_spring_mica","11",8,0.306567482952454,0.316542976327713,0.306567482952454,0.113249236210303,0.325450222374455,0.449721288220417,0.247959862725199,0.394039055274172,0.435296604884393,0.95400266137244,0.000146322971804057,12.5,12.5
"photo_spring_mica","12",8,0.443589540720449,0.391253662505405,0.443589540720449,0.290080896914205,0.535659580339953,1.04716421169723,0.204467158549529,0.507602446296957,0.958703512548035,-3.4341962517719,0.00583370758348125,0,25
"photo_spring_mica","2",4,0.230984027010308,0.239533251059418,0.230984027010308,0.0174666078678157,0.232801037907773,0.261640807377197,0.224366206759833,0.246151071309893,0.258542860163736,0.952408413888158,0.000826768047672437,0,25
"photo_spring_mica","3",36,0.106973362147292,0.0914612040887813,0.106973362147292,0.0472803325586932,0.121326733096552,0.303378977309959,0.0732971103758397,0.136065306589369,0.203514286300512,0.919869250268799,5.75778549661072e-13,52.7777777777778,94.4444444444444
"photo_spring_mica","4",8,0.142123402051238,0.138906559931549,0.142123402051238,0.0521506072878451,0.146586047593685,0.193490471019251,0.112196087113807,0.173089611394582,0.191459217931352,0.84956752748877,1.57348004812618e-05,25,100
"photo_spring_mica","5",19,0.16850652892474,0.172562395442388,0.16850652892474,0.0275997630465507,0.171891489083327,0.264053635508059,0.147568673727869,0.180425293473559,0.223721026174354,1.05529083085421,3.93841953755869e-14,0,89.4736842105263
"photo_spring_mica","6",15,0.156041594587289,0.15208547904732,0.156041594587289,0.0340933609617158,0.159953557392496,0.250489413904046,0.137216976616028,0.175954389969663,0.201894634297136,0.985366726483899,1.31559890437729e-10,6.66666666666667,93.3333333333333
"photo_spring_mica","7",7,0.186309925821363,0.181281176291782,0.186309925821363,0.0130885365950518,0.187472977738078,0.221727094976232,0.172531920992329,0.197962455356729,0.218991596233331,1.11067715036293,5.94153095164636e-07,0,71.4285714285714
