poly_number,point_number,subclass,northing,easting,elevation,notes,date,type,veg_height_cm,veg_height_m,outside_mask,out_rgb_may,out_lidar_may,out_rgb_aug,out_lidar_aug,site,predicted
NA,1,12,825514.4809717574,321499.7100948307,0.515,NA,2022-08-06,EVP,270,2.7,NA,NA,NA,NA,NA,rr,3.0664844751056215
NA,2,11,825805.4457561312,321864.1027572658,0.559,NA,2022-08-10,EVP,129,1.29,NA,NA,NA,NA,NA,rr,1.3886041609945226
NA,3,9,825471.0256282084,321518.11240181024,0.635,NA,2022-08-06,EVP,85,0.85,NA,NA,NA,NA,NA,rr,1.2717632310738551
NA,4,12,825544.0683778818,321453.9300764323,0.65,NA,2022-08-06,EVP,235,2.35,NA,NA,NA,NA,NA,rr,NA
NA,7,9,825401.3763657287,321463.9270793395,0.729,NA,2022-08-06,EVP,61,0.61,NA,NA,NA,NA,NA,rr,1.1525999849122168
NA,8,11,825573.0295687468,321623.397692321,0.672,NA,2022-08-10,EVP,178,1.78,NA,NA,NA,NA,NA,rr,1.0245257368699643
NA,9,3,825610.2405509853,321921.8082419808,0.348,NA,2022-08-06,EVP,23,0.23,NA,NA,NA,NA,NA,rr,0.6272228779487663
NA,10,12,825710.058125138,321944.6922280079,0.608,NA,2022-08-10,EVP,275,2.75,NA,NA,NA,NA,NA,rr,1.4724239833877868
NA,11,9,825311.1934517674,321378.73678364954,0.788,NA,2022-08-06,EVP,81,0.81,NA,NA,NA,NA,NA,rr,1.5377458841836111
NA,12,11,825782.6042098043,321854.689143577,0.595,NA,2022-08-10,EVP,168,1.68,NA,NA,NA,NA,NA,rr,1.2046223665771678
NA,13,11,825799.8048714093,321867.1635873832,0.586,NA,2022-08-10,EVP,169,1.69,NA,NA,NA,NA,NA,rr,1.5815713634200266
NA,14,12,825684.9304737872,321897.11301772133,0.67,NA,2022-08-10,EVP,202,2.02,NA,NA,NA,NA,NA,rr,2.451210627765556
NA,15,12,825530.2057982994,321521.31236307684,0.534,NA,2022-08-06,EVP,304,3.04,NA,NA,NA,NA,NA,rr,3.824867232887298
NA,16,12,825390.0390869018,321459.98889166024,0.676,NA,2022-08-06,EVP,202,2.02,NA,NA,NA,NA,NA,rr,1.9727728111742024
NA,17,3,825677.4336144452,321933.9860497444,0.544,NA,2022-08-10,EVP,25,0.25,NA,NA,NA,NA,NA,rr,0.7604831940587204
NA,18,9,825285.4113453119,321674.46895129373,0.75,NA,2022-08-06,EVP,59,0.59,NA,NA,NA,NA,NA,rr,1.3009558147450981
NA,19,8,825322.9103059774,321412.5430165321,0.673,NA,2022-08-06,EVP,26,0.26,NA,NA,NA,NA,NA,rr,0.902368632154913
NA,20,12,825453.4193139537,321498.0151309817,0.698,NA,2022-08-06,EVP,181,1.81,NA,NA,NA,NA,NA,rr,2.317995517803519
NA,21,1,825651.2336941566,321943.1211501146,0.462,NA,2022-08-10,EVP,47,0.47,NA,NA,NA,NA,NA,rr,0.8359296076182454
NA,22,11,825689.2400778562,321867.3392311676,0.649,NA,2022-08-10,EVP,110,1.1,NA,NA,NA,NA,NA,rr,1.3172124397817786
NA,23,1,825526.3871348958,321677.83668385696,0.26,NA,2022-08-10,EVP,92,0.92,NA,NA,NA,NA,NA,rr,0.7883088211209677
NA,24,9,825380.781525301,321602.7737035849,0.785,NA,2022-08-06,EVP,80,0.8,NA,NA,NA,NA,NA,rr,1.4083093093906194
NA,25,9,825520.3408130051,321449.0966801624,0.617,NA,2022-08-06,EVP,87,0.87,NA,NA,NA,NA,NA,rr,1.1494236557725295
NA,26,12,825448.8340938167,321491.91937697335,0.644,NA,2022-08-06,EVP,207,2.07,NA,NA,NA,NA,NA,rr,2.423460146921197
NA,28,2,825702.4291999481,321983.3144127859,0.485,NA,2022-08-10,EVP,58,0.58,NA,NA,NA,NA,NA,rr,1.0187239825616476
NA,29,11,825741.6400716752,321843.830148787,0.681,NA,2022-08-10,EVP,167,1.67,NA,NA,NA,NA,NA,rr,1.5907577358852136
NA,30,3,825488.9964311448,321930.9180150132,0.494,NA,2022-08-06,EVP,21,0.21,NA,NA,NA,NA,NA,rr,0.679971687181448
NA,31,3,825521.8612893672,321532.20185327786,0.601,NA,2022-08-06,EVP,44,0.44,NA,NA,NA,NA,NA,rr,0.7996231745975804
NA,32,1,825508.1045395926,321706.903563113,0.368,NA,2022-08-10,EVP,89,0.89,NA,NA,NA,NA,NA,rr,1.0283551729481393
NA,33,9,825731.2560940743,321836.99901980284,0.673,NA,2022-08-10,EVP,103,1.03,NA,NA,NA,NA,NA,rr,1.5146951918076357
NA,34,11,825687.5392236322,321887.3716941074,0.653,NA,2022-08-10,EVP,80,0.8,NA,NA,NA,NA,NA,rr,1.272299978879374
