poly_number,point_number,subclass,northing,easting,elevation,notes,date,type,veg_height_cm,veg_height_m,outside_mask,out_rgb_may,out_lidar_may,out_rgb_aug,out_lidar_aug,site,predicted
NA,1,12,825514.4809717574,321499.7100948307,0.515,NA,2022-08-06,EVP,270,2.7,NA,NA,NA,NA,NA,rr,0.7025275497140571
NA,2,11,825805.4457561312,321864.1027572658,0.559,NA,2022-08-10,EVP,129,1.29,NA,NA,NA,NA,NA,rr,0.8246334952915362
NA,3,9,825471.0256282084,321518.11240181024,0.635,NA,2022-08-06,EVP,85,0.85,NA,NA,NA,NA,NA,rr,0.7173659878528059
NA,4,12,825544.0683778818,321453.9300764323,0.65,NA,2022-08-06,EVP,235,2.35,NA,NA,NA,NA,NA,rr,0.7754165852496475
NA,7,9,825401.3763657287,321463.9270793395,0.729,NA,2022-08-06,EVP,61,0.61,NA,NA,NA,NA,NA,rr,0.8156991340275652
NA,8,11,825573.0295687468,321623.397692321,0.672,NA,2022-08-10,EVP,178,1.78,NA,NA,NA,NA,NA,rr,0.8023392944183658
NA,9,3,825610.2405509853,321921.8082419808,0.348,NA,2022-08-06,EVP,23,0.23,NA,NA,NA,NA,NA,rr,0.49612567528017476
NA,10,12,825710.058125138,321944.6922280079,0.608,NA,2022-08-10,EVP,275,2.75,NA,NA,NA,NA,NA,rr,0.7019258748135236
NA,11,9,825311.1934517674,321378.73678364954,0.788,NA,2022-08-06,EVP,81,0.81,NA,NA,NA,NA,NA,rr,0.857004922538504
NA,12,11,825782.6042098043,321854.689143577,0.595,NA,2022-08-10,EVP,168,1.68,NA,NA,NA,NA,NA,rr,0.7182102557041196
NA,13,11,825799.8048714093,321867.1635873832,0.586,NA,2022-08-10,EVP,169,1.69,NA,NA,NA,NA,NA,rr,0.8568571942235417
NA,14,12,825684.9304737872,321897.11301772133,0.67,NA,2022-08-10,EVP,202,2.02,NA,NA,NA,NA,NA,rr,0.7905010387299809
NA,15,12,825530.2057982994,321521.31236307684,0.534,NA,2022-08-06,EVP,304,3.04,NA,NA,NA,NA,NA,rr,0.7153965154782026
NA,16,12,825390.0390869018,321459.98889166024,0.676,NA,2022-08-06,EVP,202,2.02,NA,NA,NA,NA,NA,rr,0.8069075238205323
NA,17,3,825677.4336144452,321933.9860497444,0.544,NA,2022-08-10,EVP,25,0.25,NA,NA,NA,NA,NA,rr,0.6510219665587713
