poly_number,point_number,subclass,northing,easting,elevation,notes,date,type,veg_height_cm,veg_height_m,outside_mask,out_rgb_may,out_lidar_may,out_rgb_aug,out_lidar_aug,site,predicted
NA,109,6,4613784.169,413533.816,0.706,NA,2022-08-10,EVP,23,0.23,NA,NA,NA,NA,NA,rr,0.8336060623411725
NA,110,6,4613611.543,413425.795,0.636,NA,2022-08-06,EVP,17,0.17,NA,NA,NA,NA,NA,rr,0.7483328143904596
NA,111,6,4613955.163,413696.713,0.562,NA,2022-08-10,EVP,23,0.23,NA,NA,NA,NA,NA,rr,0.815820180629008
NA,112,6,4613680.694,413433.97,1.057,NA,2022-08-06,EVP,38,0.38,NA,NA,NA,NA,NA,rr,1.2538223963530033
NA,113,6,4613706.959,413393.376,0.597,NA,2022-08-06,EVP,19,0.19,NA,NA,NA,NA,NA,rr,0.7235862653380936
NA,114,6,4613531.524,413205.279,0.649,NA,2022-08-06,EVP,28,0.28,NA,NA,NA,NA,NA,rr,0.856297273821781
NA,115,6,4613795.598,413564.878,0.565,NA,2022-08-10,EVP,30,0.3,NA,NA,NA,NA,NA,rr,0.7822540562979841
NA,119,3,4613525.944,413244.89,0.532,NA,2022-08-06,EVP,22,0.22,NA,NA,NA,NA,NA,rr,0.6401031855955966
NA,120,5,4613485.82,413311.44,0.627,NA,2022-08-06,EVP,37,0.37,NA,NA,NA,NA,NA,rr,0.8256319753814153
NA,121,5,4613697.003,413309.756,0.556,NA,2022-08-06,EVP,43,0.43,NA,NA,NA,NA,NA,rr,0.802243194490297
NA,122,5,4613784.787,413590.388,0.509,NA,2022-08-10,EVP,42,0.42,NA,NA,NA,NA,NA,rr,0.8068569654173571
NA,123,5,4613450.804,413286.144,0.516,NA,2022-08-06,EVP,28,0.28,NA,NA,NA,NA,NA,rr,0.7064724999785766
NA,124,5,4613668.074,413407.945,0.686,NA,2022-08-06,EVP,33,0.33,NA,NA,NA,NA,NA,rr,0.8282911936913545
NA,125,5,4613679.095,413428.746,0.664,NA,2022-08-06,EVP,27,0.27,NA,NA,NA,NA,NA,rr,0.8177439984850288
NA,126,5,4613731.028,413478.512,0.545,NA,2022-08-10,EVP,32,0.32,NA,NA,NA,NA,NA,rr,0.7122799995004013
NA,127,5,4613706.761,413296.641,0.569,NA,2022-08-06,EVP,44,0.44,NA,NA,NA,NA,NA,rr,0.827834225709245
NA,128,5,4613683.035,413273.757,0.52,NA,2022-08-06,EVP,55,0.55,NA,NA,NA,NA,NA,rr,0.7783199831146747
NA,129,5,4613693.451,413302.835,0.618,NA,2022-08-06,EVP,41,0.41,NA,NA,NA,NA,NA,rr,0.7651743950951926
NA,130,5,4613864.876,413711.172,0.718,NA,2022-08-10,EVP,27,0.27,NA,NA,NA,NA,NA,rr,0.8639600108014047
