poly_number,point_number,subclass,northing,easting,elevation,notes,date,type,veg_height_cm,veg_height_m,outside_mask,out_rgb_may,out_lidar_may,out_rgb_aug,out_lidar_aug,site,predicted
NA,1,12,4613719.729,413346.977,0.515,NA,2022-08-06,EVP,270,2.7,NA,NA,NA,NA,NA,rr,NA
NA,2,11,4613999.848,413719.588,0.559,NA,2022-08-10,EVP,129,1.29,NA,NA,NA,NA,NA,rr,0.7945591045981204
NA,3,9,4613675.769,413364.098,0.635,NA,2022-08-06,EVP,85,0.85,NA,NA,NA,NA,NA,rr,0.6766463273410557
NA,4,12,4613750.63,413302.094,0.65,NA,2022-08-06,EVP,235,2.35,NA,NA,NA,NA,NA,rr,2.5100618239853305
NA,7,9,4613607.752,413307.921,0.729,NA,2022-08-06,EVP,61,0.61,NA,NA,NA,NA,NA,rr,0.5771990102741049
NA,8,11,4613774.626,413472.281,0.672,NA,2022-08-10,EVP,178,1.78,NA,NA,NA,NA,NA,rr,1.1001562407492487
NA,9,3,4613803.104,413771.556,0.348,NA,2022-08-06,EVP,23,0.23,NA,NA,NA,NA,NA,rr,0.566451860515768
NA,10,12,4613902.18,413797.335,0.608,NA,2022-08-10,EVP,275,2.75,NA,NA,NA,NA,NA,rr,1.0061282144026251
NA,11,9,4613520.121,413220.163,0.788,NA,2022-08-06,EVP,81,0.81,NA,NA,NA,NA,NA,rr,0.9338088276372403
NA,12,11,4613977.298,413709.515,0.595,NA,2022-08-10,EVP,168,1.68,NA,NA,NA,NA,NA,rr,1.0879022059353092
NA,13,11,4613994.122,413722.482,0.586,NA,2022-08-10,EVP,169,1.69,NA,NA,NA,NA,NA,rr,1.2881093011258336
NA,14,12,4613878.459,413749.058,0.67,NA,2022-08-10,EVP,202,2.02,NA,NA,NA,NA,NA,rr,0.8795619151141345
NA,15,12,4613734.812,413369.022,0.534,NA,2022-08-06,EVP,304,3.04,NA,NA,NA,NA,NA,rr,0.528476635324431
NA,16,12,4613596.538,413303.655,0.676,NA,2022-08-06,EVP,202,2.02,NA,NA,NA,NA,NA,rr,1.1963637207900626
NA,17,3,4613869.892,413785.685,0.544,NA,2022-08-10,EVP,25,0.25,NA,NA,NA,NA,NA,rr,0.6516848759771259
NA,18,9,4613485.731,413514.924,0.75,NA,2022-08-06,EVP,59,0.59,NA,NA,NA,NA,NA,rr,1.1342643511564379
NA,19,8,4613530.843,413254.286,0.673,NA,2022-08-06,EVP,26,0.26,NA,NA,NA,NA,NA,rr,0.7498504651497142
NA,20,12,4613658.762,413343.502,0.698,NA,2022-08-06,EVP,181,1.81,NA,NA,NA,NA,NA,rr,0.6588678426696188
