RTCM0042,,4747306.230,345583.166,16.646
25,21384670,4737424.853,347752.487,2.102
26,21384635,4737428.039,347745.118,1.399
29,21384536,4737440.109,347711.901,1.435
31,21384618,4737453.218,347687.325,1.451
45,21411061,4737435.391,347690.346,0.750
38,21384656,4737186.793,347815.294,1.163
37,21440246,4737208.433,347887.760,1.235
43,21384595,4737052.246,347918.256,0.809
44,21071951,4737028.548,347881.449,0.155
39,21384665,4736965.252,347982.458,1.350
23,21440245,4737038.058,348039.943,1.288
22,21384647,4737056.221,348023.790,1.416
21,21411051,4737073.502,348005.078,1.377
20,21384591,4737095.445,347983.415,1.303
27,21410927,4737099.098,347973.433,-0.935
40,21440247,4737095.109,348105.605,1.292
42,21440249,4737038.300,347940.447,0.505
41,21410929,4736943.684,347875.879,-0.445
32,20358395,4737474.414,347676.432,-0.970
28,21440248,4736907.544,347754.985,1.596
30,21384636,4736912.161,347756.810,1.468
33,21384682,4736918.467,347759.286,1.474
34,21384699,4736929.377,347768.035,1.468
35,21440250,4736943.157,347782.856,1.224
36,21410921,4736955.450,347788.471,-1.011
24,21411121,4737064.348,347748.371,1.323
46,21384644,4737118.943,347791.414,1.398
1,21411074,4737197.713,347517.386,1.493
2,21384576,4737227.709,347479.758,1.512
3,21384660,4737232.915,347483.126,1.086
5,21071954,4737219.458,347478.860,1.084
6,21410924,4737217.269,347470.902,-1.361
4,21410928,4737240.428,347490.145,-1.558
8,21410972,4737244.131,347437.236,1.478
10,21410932,4737259.771,347386.780,1.445
12,21440243,4737281.236,347349.259,1.373
13,21410933,4737291.969,347339.430,0.824
15,21440242,4737253.585,347580.244,1.354
17,21411058,4737279.787,347603.371,1.438
18,21384654,4737303.043,347618.470,1.434
19,21440244,4737313.224,347624.739,1.123
