poly_number,point_number,subclass,northing,easting,elevation,notes,date,type,veg_height_cm,veg_height_m,outside_mask,out_rgb_may,out_lidar_may,out_rgb_aug,out_lidar_aug,site,predicted
NA,92,1,4736953.66,347689.116,0.932,NA,2022-08-09,EVP,134,1.34,NA,NA,NA,NA,NA,oth,0.6275915899452661
NA,93,6,4737071.888,347813.689,1.191,NA,2022-08-09,EVP,18,0.18,NA,NA,NA,NA,NA,oth,NA
NA,94,7,4736872.605,347672.552,1.393,NA,2022-08-09,EVP,35,0.35,NA,NA,NA,NA,NA,oth,1.48032930753556
NA,96,7,4736905.214,347843.355,1.274,NA,2022-08-09,EVP,30,0.3,NA,NA,NA,NA,NA,oth,1.3743852884907268
NA,97,5,4737644.661,347762.691,1.256,NA,2022-08-11,EVP,40,0.4,Yes,Yes,Yes,NA,NA,oth,NA
NA,98,7,4737570.225,347612.802,1.825,NA,2022-08-11,EVP,36,0.36,NA,NA,NA,NA,NA,oth,NA
NA,100,1,4736959.341,347793.018,0.814,NA,2022-08-09,EVP,90,0.9,NA,NA,NA,NA,NA,oth,0.9487598422304309
NA,101,6,4737229.102,347642.055,1.42,NA,2022-08-09,EVP,10,0.1,NA,NA,NA,NA,NA,oth,NA
NA,102,6,4737285.883,347490.423,1.407,NA,2022-08-09,EVP,21,0.21,NA,NA,NA,NA,NA,oth,NA
NA,103,6,4737446.056,347641.228,1.728,NA,2022-08-11,EVP,32,0.32,NA,NA,NA,NA,NA,oth,NA
NA,104,1,4737263.307,347290.149,0.713,NA,2022-08-09,EVP,127,1.27,NA,NA,NA,NA,NA,oth,NA
NA,105,6,4737308.515,347674.408,1.417,NA,2022-08-11,EVP,20,0.2,NA,NA,NA,NA,NA,oth,NA
NA,106,3,4737724.856,347750.006,1.368,NA,2022-08-11,EVP,34,0.34,Yes,Yes,Yes,NA,NA,oth,NA
NA,107,1,4737233.242,347650.562,0.895,NA,2022-08-09,EVP,177,1.77,NA,NA,NA,NA,NA,oth,NA
NA,108,6,4737141.938,347568.901,1.467,NA,2022-08-09,EVP,23,0.23,NA,NA,NA,NA,NA,oth,NA
NA,109,5,4737002.737,347942.717,1.373,NA,2022-08-11,EVP,44,0.44,NA,NA,NA,NA,NA,oth,NA
NA,110,6,4737592.135,347810.592,1.372,NA,2022-08-11,EVP,13,0.13,Yes,Yes,Yes,NA,NA,oth,NA
NA,111,4,4737089.841,347737.162,1.272,NA,2022-08-09,EVP,39,0.39,NA,NA,NA,NA,NA,oth,NA
NA,112,6,4737047.317,347711.493,1.249,NA,2022-08-09,EVP,20,0.2,NA,NA,NA,NA,NA,oth,NA
NA,113,6,4736927.434,347663.397,1.429,NA,2022-08-09,EVP,11,0.11,NA,NA,NA,NA,NA,oth,1.5248405999416177
NA,114,6,4737613.802,347848.793,1.32,NA,2022-08-11,EVP,32,0.32,Yes,Yes,Yes,Yes,Yes,oth,NA
NA,116,5,4736857.399,347834.538,1.446,NA,2022-08-09,EVP,20,0.2,NA,NA,NA,NA,NA,oth,1.507104935456137
NA,117,6,4737327.417,347583.138,1.364,NA,2022-08-09,EVP,11,0.11,NA,NA,NA,NA,NA,oth,NA
NA,118,4,4737689.154,347775.538,1.369,NA,2022-08-11,EVP,31,0.31,Yes,Yes,Yes,NA,NA,oth,NA
NA,119,5,4737085.362,348010.59,1.321,NA,2022-08-11,EVP,34,0.34,NA,NA,NA,NA,NA,oth,NA
NA,120,5,4737641.039,347827.12,1.303,NA,2022-08-11,EVP,41,0.41,Yes,Yes,Yes,Yes,Yes,oth,NA
NA,121,6,4737203.671,347503.978,1.516,NA,2022-08-09,EVP,24,0.24,NA,NA,NA,NA,NA,oth,NA
NA,122,6,4737333.035,347566.29,1.388,NA,2022-08-09,EVP,14,0.14,NA,NA,NA,NA,NA,oth,NA
NA,124,5,4737435.077,347699.826,1.377,NA,2022-08-11,EVP,49,0.49,NA,NA,NA,NA,NA,oth,NA
NA,125,5,4737222.356,347701.782,1.343,NA,2022-08-11,EVP,40,0.4,NA,NA,NA,NA,NA,oth,NA
NA,127,5,4736969.385,347708.762,1.361,NA,2022-08-09,EVP,39,0.39,NA,NA,NA,NA,NA,oth,1.465337629267652
NA,128,5,4737402.119,347694.671,1.387,NA,2022-08-11,EVP,35,0.35,NA,NA,NA,NA,NA,oth,NA
NA,132,4,4737010.547,347577.439,1.39,NA,2022-08-09,EVP,34,0.34,NA,NA,NA,NA,NA,oth,NA
NA,133,12,4737560.338,347667.292,1.377,NA,2022-08-11,EVP,234,2.34,NA,NA,NA,NA,NA,oth,NA
NA,135,4,4737581.082,347674.481,1.435,NA,2022-08-11,EVP,29,0.29,NA,NA,NA,NA,NA,oth,NA
NA,137,5,4737091.503,347891.425,1.272,NA,2022-08-11,EVP,45,0.45,NA,NA,NA,NA,NA,oth,NA
NA,138,4,4737443.926,347701.554,1.409,NA,2022-08-11,EVP,37,0.37,NA,NA,NA,NA,NA,oth,NA
NA,139,4,4737291.234,347735.993,1.39,NA,2022-08-11,EVP,35,0.35,NA,NA,NA,NA,NA,oth,NA
NA,140,3,4736887.948,347843.442,1.392,NA,2022-08-09,EVP,18,0.18,NA,NA,NA,NA,NA,oth,1.5132633942476452
NA,142,4,4737512.751,347602.725,1.455,NA,2022-08-11,EVP,26,0.26,NA,NA,NA,NA,NA,oth,NA
