Site,Day,Month,Year,PolygongonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
PEG,,,,68,203,25jn,25,jn,Polygon,4672487.698,357652.685,1.155,
PEG,,,,68,204,25jn,25,jn,Polygon,4672487.613,357652.965,1.159,
PEG,,,,68,205,25jn,25,jn,Polygon,4672488.506,357653.342,1.122,
PEG,,,,68,206,25jn,25,jn,Polygon,4672490.612,357653.06,1.077,
PEG,,,,68,207,25jn,25,jn,Polygon,4672491.254,357652.849,1.092,
PEG,,,,68,208,25jn,25,jn,Polygon,4672493.285,357653.772,1.127,
PEG,,,,68,209,25jn,25,jn,Polygon,4672493.351,357654.58,1.089,
PEG,,,,68,210,25jn,25,jn,Polygon,4672493.849,357655.469,1.061,
PEG,,,,68,211,25jn,25,jn,Polygon,4672494.082,357657.707,1.109,
PEG,,,,68,212,25jn,25,jn,Polygon,4672493.509,357658.801,1.143,
PEG,,,,68,213,25jn,25,jn,Polygon,4672491.876,357659.915,1.137,
PEG,,,,68,214,25jn,25,jn,Polygon,4672490.784,357660.219,1.11,
PEG,,,,68,215,25jn,25,jn,Polygon,4672489.555,357658.407,1.172,
PEG,,,,68,216,25jn,25,jn,Polygon,4672488.97,357658.761,1.212,
PEG,,,,68,217,25jn,25,jn,Polygon,4672489.469,357659.924,1.153,
PEG,,,,68,218,25jn,25,jn,Polygon,4672488.22,357660.665,1.093,
PEG,,,,68,219,25jn,25,jn,Polygon,4672487.809,357661.286,1.102,
PEG,,,,68,220,25jn,25,jn,Polygon,4672487.735,357661.098,1.279,
PEG,,,,68,221,25jn,25,jn,Polygon,4672487.717,357660.594,1.247,
PEG,,,,68,222,25jn,25,jn,Polygon,4672486.739,357660.004,1.216,
PEG,,,,68,223,25jn,25,jn,Polygon,4672486.665,357660.598,1.193,
PEG,,,,68,224,25jn,25,jn,Polygon,4672486.2,357661.353,1.132,
PEG,,,,68,225,25jn,25,jn,Polygon,4672485.827,357660.637,1.087,
PEG,,,,68,226,25jn,25,jn,Polygon,4672485.461,357660.098,1.132,
PEG,,,,68,227,25jn,25,jn,Polygon,4672485.393,357658.625,1.219,
PEG,,,,68,228,25jn,25,jn,Polygon,4672485.267,357657.107,1.19,
PEG,,,,68,229,25jn,25,jn,Polygon,4672485.725,357655.12,1.117,
PEG,,,,68,230,25jn,25,jn,Polygon,4672486.051,357653.222,1.116,
PEG,,,,68,231,25jn,25,jn,Polygon,4672487.301,357652.76,1.152,
PEG,,,,75,333,13a,13,a,Polygon,4671862.783,357887.5,1.346,
PEG,,,,75,334,13a,13,a,Polygon,4671863.92,357880.058,1.251,
PEG,,,,75,335,13a,13,a,Polygon,4671864.34,357872.905,1.29,
PEG,,,,75,336,13a,13,a,Polygon,4671864.984,357872.943,1.249,
PEG,,,,75,337,13a,13,a,Polygon,4671864.844,357880.175,1.099,
PEG,,,,75,338,13a,13,a,Polygon,4671863.774,357887.583,0.981,
PEG,,,,76,339,21kn,21,kn,Polygon,4671864.984,357872.943,1.249,
PEG,,,,76,340,21kn,21,kn,Polygon,4671864.844,357880.175,1.099,
PEG,,,,76,341,21kn,21,kn,Polygon,4671863.774,357887.583,0.981,
PEG,,,,76,342,21kn,21,kn,Polygon,4671865.941,357883.833,1.011,
PEG,,,,76,343,21kn,21,kn,Polygon,4671865.934,357878.609,0.962,
PEG,,,,76,344,21kn,21,kn,Polygon,4671866.376,357871.309,0.959,
PEG,,,,77,345,13a,13,a,Polygon,4671865.941,357883.833,1.011,
PEG,,,,77,346,13a,13,a,Polygon,4671865.934,357878.609,0.962,
PEG,,,,77,347,13a,13,a,Polygon,4671866.376,357871.309,0.959,
PEG,,,,77,348,13a,13,a,Polygon,4671868.016,357871.831,1.301,
PEG,,,,77,349,13a,13,a,Polygon,4671868.253,357877.542,1.321,
PEG,,,,77,350,13a,13,a,Polygon,4671868.124,357884.205,1.056,
PEG,,,,81,357,21jn,21,jn,Polygon,4671871.279,357884.636,1.018,
PEG,,,,81,358,21jn,21,jn,Polygon,4671878.145,357885.281,1.126,
PEG,,,,81,359,21jn,21,jn,Polygon,4671866.246,357884.047,0.987,
PEG,,,,81,360,21jn,21,jn,Polygon,4671873.808,357886.586,1.066,
PEG,,,,81,361,21jn,21,jn,Polygon,4671866.348,357885.83,1.011,
PEG,,,,81,362,21jn,21,jn,Polygon,4671880.403,357887.403,1.149,
