Site Name,Site,Response,Adj_R_Squared,Intercept,Elevation,Type
Old Town Hill,OTH,Median_Time_Inundated,0.5230001558259092,5.137019024909953,-2.527939841825492,Plat
Old Town Hill,OTH,Median_Time_Inundated,0.561135681353621,5.459749461533494,-2.789309034292205,"Plat,Edge"
Old Town Hill,OTH,Median_Time_Inundated,0.6328214667970256,303.1106534488748,-225.20331140337603,"Plat,Edge,Ditch"
Old Town Hill,OTH,Percentile_95_Depth,0.9245057734553819,1.1575753723910518,-0.805522209257099,Plat
Old Town Hill,OTH,Percentile_95_Depth,0.5860494653566701,0.7238191424597165,-0.4736909530693764,"Plat,Edge"
Old Town Hill,OTH,Percentile_95_Depth,0.9185290399211425,1.229676191333254,-0.8319709143279735,"Plat,Edge,Ditch"
Old Town Hill,OTH,Proportion_Time_Inundated,0.9814772626550377,0.5548899211831221,-0.3740096176676506,Plat
Old Town Hill,OTH,Proportion_Time_Inundated,0.6820497154212094,0.3700514504072122,-0.23285982314304154,"Plat,Edge"
Old Town Hill,OTH,Proportion_Time_Inundated,0.8572293898839323,0.7376102586667594,-0.49315532094956427,"Plat,Edge,Ditch"
Red River,RED,Median_Time_Inundated,0.7981549555263896,6.501225215659156,-6.753171526882569,Plat
Red River,RED,Median_Time_Inundated,0.7981549555263896,6.501225215659156,-6.753171526882569,"Plat,Edge"
Red River,RED,Median_Time_Inundated,0.8590733844941858,6.540425137049019,-6.820600713148512,"Plat,Edge,Ditch"
Red River,RED,Percentile_95_Depth,0.8997204230673707,0.46828232042601586,-0.6735321131698533,Plat
Red River,RED,Percentile_95_Depth,0.8904558483658858,0.45249781177327303,-0.6403499643732431,"Plat,Edge"
Red River,RED,Percentile_95_Depth,0.9200480201405178,0.48795145418794406,-0.6998064944585428,"Plat,Edge,Ditch"
Red River,RED,Proportion_Time_Inundated,0.829247972189783,0.4658559691700123,-0.6351266843091212,Plat
Red River,RED,Proportion_Time_Inundated,0.843447879231611,0.4601188020780732,-0.6231157436162882,"Plat,Edge"
Red River,RED,Proportion_Time_Inundated,0.8815092712963912,0.5155288212644268,-0.7160395519586757,"Plat,Edge,Ditch"
Wellfleet Bay,WEL,Median_Time_Inundated,0.6452164104302176,5.0584679541214,-2.520127433327263,Plat
Wellfleet Bay,WEL,Median_Time_Inundated,0.6956613063014099,4.914872360691176,-2.41190838292777,"Plat,Edge"
Wellfleet Bay,WEL,Median_Time_Inundated,0.6956613063014099,4.914872360691176,-2.41190838292777,"Plat,Edge,Ditch"
Wellfleet Bay,WEL,Percentile_95_Depth,0.8394336493979704,1.0174596129389346,-0.622614478177232,Plat
Wellfleet Bay,WEL,Percentile_95_Depth,0.7636241094642253,0.8797429191163871,-0.5187597753942478,"Plat,Edge"
Wellfleet Bay,WEL,Percentile_95_Depth,0.7636241094642253,0.8797429191163871,-0.5187597753942478,"Plat,Edge,Ditch"
Wellfleet Bay,WEL,Proportion_Time_Inundated,0.8446790354291318,0.47267081160152696,-0.2752963860614436,Plat
Wellfleet Bay,WEL,Proportion_Time_Inundated,0.824343079981379,0.4316623350466681,-0.24439759787408932,"Plat,Edge"
Wellfleet Bay,WEL,Proportion_Time_Inundated,0.824343079981379,0.4316623350466681,-0.24439759787408932,"Plat,Edge,Ditch"
Westport,WES,Median_Time_Inundated,0.6674166955700703,6.0237413934612185,-7.830786851677916,Plat
Westport,WES,Median_Time_Inundated,0.47083995516349764,4.406991310014781,-4.289674254512923,"Plat,Edge"
Westport,WES,Median_Time_Inundated,0.7822894560575953,5.567352785597685,-6.636806798952057,"Plat,Edge,Ditch"
Westport,WES,Percentile_95_Depth,0.8213906920324864,0.5403948758066165,-0.8418693352225219,Plat
Westport,WES,Percentile_95_Depth,0.8485673745129714,0.4613315399192762,-0.6686996056823018,"Plat,Edge"
Westport,WES,Percentile_95_Depth,0.9372113165132226,0.5075816701519215,-0.7622525097883762,"Plat,Edge,Ditch"
Westport,WES,Proportion_Time_Inundated,0.7690294462111764,0.504776329225312,-0.7500519282990076,Plat
Westport,WES,Proportion_Time_Inundated,0.8330459151200944,0.4450993944661149,-0.6193435723201365,"Plat,Edge"
Westport,WES,Proportion_Time_Inundated,0.9315014123255972,0.479325134626661,-0.6885740235879025,"Plat,Edge,Ditch"
